Gene,Degree,Betweenness,Closeness,Eigenvector
Pno1,139,0.000300215323684245,0.37691447429440794,0.05774889987473941
Gmps,138,0.004295173186069068,0.3894730134071153,0.04042250624059894
Ddx52,138,0.0011519724735634866,0.3693581697778844,0.054132775932575906
Psmd14,138,0.0020276955172051528,0.4094195341820493,0.016218273624818626
Rpl12,138,0.0001535010090089664,0.3823011865833483,0.056340908408636564
Cct4,138,0.001795743594485935,0.40607294333192606,0.02847033449413327
Mcm5,137,0.001532953510165532,0.39161116761923215,0.0040011355231516265
Zfp593,137,0.0002871176865926216,0.3645185711172727,0.0561498557802097
Vcp,137,0.005825653218767767,0.4244744789086093,0.013363754593568521
Mdm2,137,0.0039716543816076585,0.42925562949653223,0.01003339040820076
Pkm,136,0.005426019091183725,0.4206237881413706,0.03406848124359916
Fgf2,136,0.002096477243102587,0.4154107413419479,0.004187289648090307
Bub1b,135,0.0017759072446320813,0.3910057251956466,0.0028901378600316783
Ddx27,134,0.0010721824413466564,0.3656684719725322,0.05047941462369748
Jak2,134,0.004418973882541114,0.4186615101229534,0.0043649625452034995
Tlr2,134,0.002131795313036467,0.39624066867497865,0.0030662570222811125
Mcm3,134,0.0009679263970159765,0.3907311425234586,0.0036987017294278237
Eif1ax,134,0.0006267118692573049,0.3804192171156878,0.05335684893055035
Polr1e,134,0.0006299985676486056,0.37182648152459574,0.048155090502287834
Ccne1,133,0.002214178980458616,0.4170297908510006,0.005953495161714046
Mcm2,133,0.0012536814959007686,0.39828285393944524,0.003927767325796524
Cdk4,133,0.003761447252685546,0.4147913724119614,0.004065567734978942
Hsp90ab1,133,0.004116246282819295,0.4291894067829412,0.011383664213819115
Ddx49,133,0.0007901789226975698,0.3651884661022611,0.052603367308780506
Ddx31,133,0.0011654342161225798,0.37128062655372013,0.04772961339240062
Eif3g,132,0.0002941346877363107,0.3815147743783633,0.05008882141223098
Etf1,131,0.0012673482131023964,0.3908409293013522,0.04839887922475967
Sod2,131,0.005674234236067983,0.4231831053798335,0.019860959549749358
Rpl39,131,0.00021901637792224923,0.3761500452632538,0.054072037698464345
Ppan,130,0.000820507128004558,0.369456272877427,0.049011007831958234
Eif3c,130,0.0005068521102714088,0.39067627226050067,0.04469200814802309
B2m,130,0.008514282979068475,0.41872452359527773,0.008894149888858558
Snrpd3,130,0.001483038446730546,0.37938166299836695,0.010804883905175172
Mrpl1,130,0.0001392782493670638,0.373473719259904,0.05351110149378718
Bud23,129,0.00030804527301325313,0.37103304011296684,0.050643202628717285
Smad3,129,0.004541173550782199,0.4177813087200819,0.004083679305088708
Rrp15,129,0.001183004967829434,0.369456272877427,0.050496570591158356
Kras,129,0.0033770250119781685,0.41935570316054044,0.004112136554654302
Fen1,129,0.0013202815754176714,0.3951151448326978,0.004517150761022913
Tcp1,129,0.002915673308756581,0.4064882721751936,0.015355479145110451
Hmgn2,129,0.000553681356579686,0.381881363729173,0.05228152922498513
Rpl31,128,0.0001270983323883424,0.3751356168779699,0.05377098223100487
Vcl,128,0.003229638923248094,0.4033061372523956,0.0029673157807586343
